Job,Company Name,Skills,Location,experance,Posted Date,detailes
Python Developer,SEVEN CONSULTANCY,"['python', 'mvc', 'sql']","Navi Mumbai,  Mumbai",4 - 7  Years,24h,https://m.timesjobs.com/mobile/job-detail/python-developer-seven-consultancy-navi-mumbai-mumbai-4-to-7-yrs-jobid-VJ3GBkmUwLVzpSvf__PLUS__uAgZw==&bc=+&sequence=1
Python Developer,LAKSH HUMAN RESOURCE,"['rest', 'python', 'django', 'git']",Mumbai,1 - 3  Years,13 days ago,https://m.timesjobs.com/mobile/job-detail/python-developer-laksh-human-resource-mumbai-1-to-3-yrs-jobid-ak3vdW639qBzpSvf__PLUS__uAgZw==&bc=+&sequence=2
Python Developer,acquiscent technologies pvt. ltd.,"['python', 'machine learning', 'javascript', 'nosql', 'java', 'django', 'linux', 'web application server', 'mysql']",Pune,1 - 5  Years,24h,https://m.timesjobs.com/mobile/job-detail/python-developer-acquiscent-technologies-pvt-ltd-pune-1-to-5-yrs-jobid-ggWz1MWc4X9zpSvf__PLUS__uAgZw==&bc=+&sequence=3
Python Developer,zenga tv,"['python', 'django', 'html5', 'javascript']",Gurgaon,2 - 5  Years,13 days ago,https://m.timesjobs.com/mobile/job-detail/python-developer-zenga-tv-gurgaon-2-to-5-yrs-jobid-e__PLUS__ZLUFXUI59zpSvf__PLUS__uAgZw==&bc=+&sequence=4
Python Engineer,Veeva Systems,"['css', 'database', 'postgresql', 'debugging', 'html', 'mysql', 'rest', 'san', 'python', 'javascript', 'django', 'forms']",Spain,3 - 6  Years,24h,https://m.timesjobs.com/mobile/job-detail/python-engineer-veeva-systems-spain-3-to-6-yrs-jobid-JjfyPpMQ4zxzpSvf__PLUS__uAgZw==&bc=+&sequence=5
Python Developer,geekyworks,"['html5', 'bootstrap', 'ajax', 'git', 'apache', 'xml', 'debugging', 'mysql', 'api', 'rest', 'python', 'nosql', 'django']",Pune,2 - 3  Years,24h,https://m.timesjobs.com/mobile/job-detail/python-developer-geekyworks-pune-2-to-3-yrs-jobid-HtQuUbJGOvJzpSvf__PLUS__uAgZw==&bc=+&sequence=6
Python Developer,Analytics Vidhya,"['python', 'css', 'html5', 'html', 'ajax', 'javascript']",Gurgaon,5 - 8  Years,10 days ago,https://m.timesjobs.com/mobile/job-detail/python-developer-analytics-vidhya-gurgaon-5-to-8-yrs-jobid-di4__SLASH__jinpKOJzpSvf__PLUS__uAgZw==&bc=+&sequence=7
Python Developer,SEVEN CONSULTANCY,"['rest', 'python', 'storage']","Navi Mumbai,  Mumbai,  Thane",1 - 3  Years,19 days ago,https://m.timesjobs.com/mobile/job-detail/python-developer-seven-consultancy-navi-mumbai-mumbai-thane-1-to-3-yrs-jobid-deP__SLASH__U9VqSS9zpSvf__PLUS__uAgZw==&bc=+&sequence=8
Python Developer,NuageBiz.Tech,"['python', 'mobile', 'team player', 'svn', 'security', 'git', 'software engineering']",Noida/Greater Noida,2 - 5  Years,6 days ago,https://m.timesjobs.com/mobile/job-detail/python-developer-nuagebiz-tech-noida-greater-noida-2-to-5-yrs-jobid-ud__SLASH__oICdmaSpzpSvf__PLUS__uAgZw==&bc=+&sequence=9
Python Engineer,east india securities ltd.,"['python', 'hadoop', 'machine learning']",Kolkata,2 - 5  Years,20 days ago,https://m.timesjobs.com/mobile/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-AoNKFWTxLYxzpSvf__PLUS__uAgZw==&bc=+&sequence=10
PYTHON TRAINER,CONNECTING 2 WORK,"['rest', 'python', 'django', 'mongodb']",Calicut/ Kozhikode,0 - 3  Years,20 days ago,https://m.timesjobs.com/mobile/job-detail/python-trainer-connecting-2-work-calicut-kozhikode-0-to-3-yrs-jobid-Z__PLUS__uCQzJQBSxzpSvf__PLUS__uAgZw==&bc=+&sequence=11
PYTHON Developer,INFINITY GROUP,"['python', 'css', 'django', 'html', 'bootstrap']",Noida/Greater Noida,2 - 5  Years,18 days ago,https://m.timesjobs.com/mobile/job-detail/python-developer-infinity-group-noida-greater-noida-2-to-5-yrs-jobid-WKzksjq__PLUS__GXxzpSvf__PLUS__uAgZw==&bc=+&sequence=12
Python Engineer,Analytics Vidhya,"['python', 'machine learning', 'java', 'apache', 'git', 'digitization']","Gurgaon,  Mumbai,  Bengaluru / Bangalore",3 - 6  Years,10 days ago,https://m.timesjobs.com/mobile/job-detail/python-engineer-analytics-vidhya-gurgaon-mumbai-bengaluru-bangalore-3-to-6-yrs-jobid-YLoLWcZiAj5zpSvf__PLUS__uAgZw==&bc=+&sequence=13
Python Developer,klizos solutions pvt ltd,"['c', 'css', 'soa', 'compilers', 'java', 'mysql', 'data structures', 'html', 'c#', 'python', 'github', 'mvc architecture', 'javascript', 'nosql', 'visual studio', 'unix', 'fundamentals', 'algorithms', 'software design', 'git', 'debugging', 'mvc', 'mongodb', 'crm', 'c', 'mobile', 'machine learning', 'windows', 'identity management', 'django', 'opencv']",Kolkata,3 - 6  Years,24h,https://m.timesjobs.com/mobile/job-detail/python-developer-klizos-solutions-pvt-ltd-kolkata-3-to-6-yrs-jobid-wxcFGhPTlRtzpSvf__PLUS__uAgZw==&bc=+&sequence=14
PYTHON DEVELOPER,DREAMAJAX TECHNOLOGIES,"['python', 'django', 'api', 'sql', 'nosql']",Bengaluru / Bangalore,4 - 7  Years,21 days ago,https://m.timesjobs.com/mobile/job-detail/python-developer-dreamajax-technologies-bengaluru-bangalore-4-to-7-yrs-jobid-QP62Nb779jFzpSvf__PLUS__uAgZw==&bc=+&sequence=15
Python Developer,Datagrid Solutions,"['python', 'database', 'django', 'mysql', 'api']",Mumbai,2 - 3  Years,21 days ago,https://m.timesjobs.com/mobile/job-detail/python-developer-datagrid-solutions-mumbai-2-to-3-yrs-jobid-WOb3ZI4H4nVzpSvf__PLUS__uAgZw==&bc=+&sequence=16
